portfolio_scope,fit_provenance,fit_end,vintage,max_observed_mob,status,original_accounts,original_balance,average_outstanding_balance,observed_rate_original_balance,ultimate_rate_original_balance_chain_ladder,ultimate_rate_original_balance_scaled_average,observed_rate_average_outstanding,ultimate_rate_average_outstanding_chain_ladder,ultimate_rate_average_outstanding_scaled_average
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2004-Q4,119,Observed,347,150605000.0,95293659.83875002,0.0090734332193486,0.0090734332193486,0.0090734332193486,0.0143399299839287,0.0143399299839287,0.0143399299839287
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2005-Q1,119,Observed,311,133935000.0,82726340.73875,0.0175465233882106,0.0175465233882106,0.0175465233882106,0.0284080449952645,0.0284080449952645,0.0284080449952645
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2005-Q2,119,Observed,372,167540000.0,106269321.40533333,0.009770712665632,0.009770712665632,0.009770712665632,0.0154041183132825,0.0154041183132825,0.0154041183132825
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2005-Q3,119,Observed,305,128775000.0,82402013.74916667,0.0150183446321102,0.0150183446321102,0.0150183446321102,0.0234701464443222,0.0234701464443222,0.0234701464443222
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2005-Q4,119,Observed,323,132325000.0,81052405.18758334,0.0070537891554883,0.0070537891554883,0.0070537891554883,0.0115159155097224,0.0115159155097224,0.0115159155097224
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2006-Q1,119,Observed,318,138215000.0,87349205.18991666,0.0140673418225228,0.0140673418225228,0.0140673418225228,0.0222591338498457,0.0222591338498457,0.0222591338498457
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2006-Q2,119,Observed,316,140840000.0,90448908.51125,0.0190787498579948,0.0190787498579948,0.0190787498579948,0.0297079442331333,0.0297079442331333,0.0297079442331333
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2006-Q3,119,Observed,311,135130000.0,83496504.63983332,0.014892625027751,0.014892625027751,0.014892625027751,0.0241020918022948,0.0241020918022948,0.0241020918022948
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2006-Q4,119,Observed,338,151755000.0,92466306.62649998,0.0092525935224539,0.0092525935224539,0.0092525935224539,0.0151852862002124,0.0151852862002124,0.0151852862002124
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2007-Q1,119,Observed,341,150545000.0,89320724.88291667,0.0143356269553953,0.0143356269553953,0.0143356269553953,0.0241618836258769,0.0241618836258769,0.0241618836258769
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2007-Q2,119,Observed,343,153090000.0,97269720.5085,0.015958843425436,0.015958843425436,0.015958843425436,0.0251171621263834,0.0251171621263834,0.0251171621263834
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2007-Q3,119,Observed,301,135940000.0,83742873.96541667,0.0081521626452846,0.0081521626452846,0.0081521626452846,0.0132334243801765,0.0132334243801765,0.0132334243801765
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2007-Q4,119,Observed,343,145695000.0,89898745.52441667,0.0170596804282919,0.0170596804282919,0.0170596804282919,0.0276478845783774,0.0276478845783774,0.0276478845783774
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2008-Q1,119,Observed,360,163930000.0,106042627.17666668,0.0135618169950588,0.0135618169950588,0.0135618169950588,0.020965046973951,0.020965046973951,0.020965046973951
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2008-Q2,119,Observed,360,159005000.0,101684571.3445,0.0107351883903021,0.0107351883903021,0.0107351883903021,0.0167867023229805,0.0167867023229805,0.0167867023229805
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2008-Q3,119,Observed,343,141010000.0,84767962.16424999,0.0064109809942557,0.0064109809942557,0.0064109809942557,0.010664553056594,0.010664553056594,0.010664553056594
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2008-Q4,119,Observed,310,137395000.0,87569111.99466667,0.0115433712289384,0.0115433712289384,0.0115433712289384,0.0181114259797061,0.0181114259797061,0.0181114259797061
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2009-Q1,117,Projected,343,149955000.0,92977082.69796611,0.017352411723517,0.0174395635769174,0.0174383683540625,0.0279862609633902,0.0281268209357774,0.0284010258314802
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2009-Q2,114,Projected,338,150490000.0,94664721.82086957,0.0087030624626221,0.0089047674211886,0.0089072511418849,0.0138353955391992,0.0141560490902879,0.0145105381400195
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2009-Q3,111,Projected,311,137015000.0,85716637.56321429,0.0091539868627522,0.0095504057259226,0.0095453596099773,0.0146323227981852,0.0152659842678997,0.0158641518605962
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2009-Q4,108,Projected,324,144560000.0,94071007.63853212,0.0042937642501383,0.0045231884369275,0.0045196311123414,0.0065982769354939,0.0069508357235287,0.0073277263241802
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2010-Q1,105,Projected,353,151015000.0,97933764.46849056,0.0072894034367446,0.0078131888183049,0.0078081731893805,0.0112403445938624,0.012048027723635,0.0128868480046818
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2010-Q2,102,Projected,333,154990000.0,103256372.27718446,0.0082633089231563,0.0090068694733825,0.0089997277518221,0.0124034015698514,0.0135195016916938,0.0146671101529668
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2010-Q3,99,Projected,322,140735000.0,99615087.4998,0.0048129133477812,0.0053119181080921,0.0053089503596154,0.0067996262112539,0.0075046141473685,0.0082615391077004
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2010-Q4,96,Projected,352,154370000.0,108031475.45144331,0.0028052991513895,0.0031487971224576,0.0031459543881839,0.0040085912757402,0.0044994276877415,0.0050221582004738
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2011-Q1,93,Projected,344,154865000.0,108818276.24446812,0.0027923294482291,0.0032025713748442,0.0032018659151456,0.003973910586752,0.0045577474031203,0.0051613762172037
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2011-Q2,90,Projected,344,149760000.0,112749063.56692308,0.0053705845352564,0.0062604809575295,0.0062590541421554,0.0071335292245917,0.0083155424846888,0.0095494099896035
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2011-Q3,87,Projected,300,134545000.0,101998581.96068184,0.0053503164740421,0.0063502479172909,0.0063480499258961,0.0070575327241067,0.0083765292576445,0.0097559306155767
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2011-Q4,84,Projected,337,147090000.0,109901382.68882352,0.0033310694132843,0.0041098436621777,0.0041083599405058,0.0044582423624942,0.0055005395699285,0.0064937542776328
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2012-Q1,81,Projected,335,151065000.0,113972479.67792684,0.0046459814649323,0.0058137100254206,0.0058100543785229,0.006158023340225,0.0077057909722768,0.0092211026287932
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2012-Q2,78,Projected,329,138350000.0,105961278.90949368,0.0041010957715937,0.005290858707732,0.0052886494040634,0.0053546597949674,0.0069080923687223,0.0083820231519174
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2012-Q3,75,Projected,327,141475000.0,106488515.0431579,0.0064292304647464,0.0085575980443341,0.0085591815227464,0.0085415350155964,0.0113691714344171,0.0139900891616902
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2012-Q4,72,Projected,331,144060000.0,116074229.70136988,0.0053444396084964,0.0072423200114707,0.0072462663344891,0.0066329965917569,0.0089884604320589,0.0112134265003037
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2013-Q1,69,Projected,319,141970000.0,113547978.40728572,0.0028679642882299,0.004141404073081,0.0041521070559867,0.0035858400625992,0.0051780326211214,0.0065523707579855
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2013-Q2,66,Projected,345,149375000.0,122424957.96283582,0.0029695061422594,0.0044410124504353,0.0044547810255428,0.0036231989569859,0.0054186355937745,0.0069474598636396
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2013-Q3,63,Projected,330,144865000.0,119703670.895625,0.0,0.0,0.0,0.0,0.0,0.0
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2013-Q4,60,Projected,337,148240000.0,124521594.97114754,0.003327517269293,0.0056896576763489,0.005718230142473,0.0039613302424715,0.0067734022691999,0.0089245356521811
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2014-Q1,57,Projected,325,143845000.0,121419194.72172415,0.0041305744377628,0.0075423476747818,0.0075895303640855,0.0048934806507466,0.0089353994132929,0.0119371261263611
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2014-Q2,54,Projected,322,143765000.0,122868387.4949091,0.0075340395784787,0.0144056395435561,0.0145169017241069,0.0088153773487495,0.016855651898786,0.022832362852071
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2014-Q3,51,Projected,333,149055000.0,129799436.18096152,0.0057625262487001,0.01240959220307,0.0125248970411825,0.0066173889137893,0.0142505377546463,0.0195678797732438
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2014-Q4,48,Projected,343,146140000.0,127351082.50510204,0.0071297713151772,0.0165181401538476,0.0166881484689513,0.0081816719536581,0.0189551667296317,0.0263522516371304
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2015-Q1,45,Projected,305,139590000.0,121009526.23304348,0.0006103166415932,0.0016008132606457,0.0016260112810297,0.0007040280435106,0.0018466110066673,0.0026102631425836
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2015-Q2,42,Projected,321,135495000.0,120139398.50372092,0.0044855785822355,0.0142596024884835,0.0144684331804866,0.0050589022216652,0.0160821917142962,0.0229685983629715
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2015-Q3,39,Projected,329,139395000.0,123418235.01375,0.0060532405753434,0.0217636255730834,0.0220712682723602,0.0068368460293245,0.0245809753025716,0.0354651051224903
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2015-Q4,36,Projected,327,141265000.0,126772062.35243244,0.0002012323647046,0.0009008600514244,0.0009156033524444,0.00022423781291,0.00100384889859,0.0014668039032769
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2016-Q1,33,Projected,338,145185000.0,135335652.9514706,0.0003123954265247,0.0016724589073382,0.0017062206537697,0.0003351306844196,0.001794175748714,0.0026590120304389
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2016-Q2,30,Projected,340,146730000.0,133665184.97870968,0.0018884098684658,0.0127784327015161,0.013030331578971,0.0020729884153763,0.0140274330267234,0.0209758210568149
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2016-Q3,27,Projected,317,139860000.0,129075448.62464283,0.0015145881595881,0.0130306020442193,0.0133351612063224,0.0016411354929008,0.0141193388930555,0.021415783033215
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2016-Q4,24,Projected,323,141510000.0,133108951.1972,0.0003900474171436,0.0044308734781032,0.004512597237941,0.0004146649004711,0.0047105239748863,0.0071716523438292
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2017-Q1,21,Projected,317,141495000.0,134250752.58454546,0.0001409880914519,0.0020930947061155,0.0021164108918715,0.0001485958895272,0.0022060392939347,0.0033644859965367
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2017-Q2,18,Projected,326,139000000.0,133534456.3689474,0.0,0.0,0.0,0.0,0.0,0.0
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2017-Q3,15,Projected,326,146115000.0,141822029.79062504,0.0,0.0,0.0,0.0,0.0,0.0
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2017-Q4,12,Projected,328,144025000.0,140054195.19846153,0.0,0.0,0.0,0.0,0.0,0.0
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2018-Q1,9,Projected,341,149000000.0,146126474.162,0.0,0.0,0.0,0.0,0.0,0.0
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2018-Q2,6,Projected,332,146445000.0,142858523.4542857,0.0,0.0,0.0,0.0,0.0,0.0
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2018-Q3,3,Projected,335,148705000.0,148237312.04250002,0.0,0.0,0.0,0.0,0.0,0.0
"Local synthetic portfolio (25,000 loans)",pre_cutoff_chain_ladder,2018-12-01,2018-Q4,0,Projected,318,138375000.0,138375000.0,0.0,0.0,0.0,0.0,0.0,0.0
