month,as_of_month,undiscounted_loss,discounted_loss,marginal_pd_dollars,expected_default_exposure,cumulative_discounted_loss
42,2022-06-01,1137087.4145036323,958586.494558215,4743581.544035896,4351483.267659295,68293361.83683397
43,2022-07-01,947565.7760478735,795574.8487694659,4427509.861910932,4051620.031864063,69088936.68560344
44,2022-08-01,954717.9354215722,798327.3071185643,4114536.4500538846,3755943.2828919524,69887263.992722
45,2022-09-01,897178.6445689435,747169.3635633886,3865771.0346592916,3520094.0468528536,70634433.3562854
46,2022-10-01,810313.6657758697,672090.1287925761,3650366.1360396426,3315617.0269306554,71306523.48507796
47,2022-11-01,751552.6378048081,620823.2629664819,3436354.6630077953,3113335.0735230157,71927346.74804445
48,2022-12-01,766891.2067504482,630923.2936897264,3225449.5449049645,2914806.7586317966,72558270.04173417
49,2023-01-01,646774.0730602497,529943.5748157444,3023824.5234281872,2725582.3872172185,73088213.61654992
50,2023-02-01,608688.3137276312,496713.7904497412,2837529.496610136,2551040.893344394,73584927.40699966
51,2023-03-01,556533.6579384696,452310.7540820866,2653195.9222438117,2379089.4203011934,74037238.16108175
52,2023-04-01,543608.1407230705,440013.15007797745,2521153.406942747,2254738.1128009195,74477251.31115973
53,2023-05-01,511934.0407683139,412693.7937028649,2348006.607238801,2094299.4216119875,74889945.1048626
54,2023-06-01,470239.4982804277,377543.7277061726,2215661.5990872285,1970967.3700339964,75267488.83256878
55,2023-07-01,422726.93633539905,338019.92526728363,2058679.7397776328,1826375.589990261,75605508.75783606
56,2023-08-01,394351.6347647909,314051.0500627992,1968465.8172760634,1741598.8467369576,75919559.80789886
57,2023-09-01,354580.72222639475,281232.7863379089,1880018.922415617,1658769.2494723464,76200792.59423678
58,2023-10-01,369173.2511381478,291618.64030310354,1786057.6854334166,1571490.803541612,76492411.23453988
59,2023-11-01,357902.3583882583,281568.35251531075,1704684.95698854,1495706.6556203926,76773979.58705519
60,2023-12-01,351236.50061369996,275202.9888496488,1639113.389748024,1434131.7863580512,77049182.57590485
61,2024-01-01,320901.2609142954,250414.31585906513,1562041.7825326032,1362824.4355731783,77299596.89176391
62,2024-02-01,316701.00188992353,246133.87671598827,1473157.344031548,1281614.1649702527,77545730.7684799
63,2024-03-01,277981.8625070161,215165.50160119287,1402192.8919787633,1216392.1480931134,77760896.27008109
64,2024-04-01,258559.70116705983,199320.16688206227,1333609.5268109369,1153566.7090865255,77960216.43696316
65,2024-05-01,272193.13531439146,208978.5917103588,1276646.9344262516,1101092.537168132,78169195.02867351
66,2024-06-01,232436.82656626502,177731.24886143103,1212299.5373461396,1042536.614788337,78346926.27753495
67,2024-07-01,221078.82799115957,168360.51043701931,1169697.4262467185,1002947.4273192604,78515286.78797197
68,2024-08-01,221671.41523688872,168126.8202258213,1141210.3377694914,975621.8504043181,78683413.6081978
69,2024-09-01,218202.56899397247,164824.35684267269,1111434.033229392,947325.2552613247,78848237.96504046
70,2024-10-01,197333.0478841351,148455.25633400082,1080339.2494036655,918055.8422940657,78996693.22137447
71,2024-11-01,205816.29404499935,154209.00481942447,1033215.588906868,875364.3832429234,79150902.22619389
72,2024-12-01,185080.97955143495,138110.27656586957,996958.6734205845,842102.8678323106,79289012.50275975
73,2025-01-01,188078.17026432705,139777.356171293,964279.6487901588,812034.2023095688,79428789.85893105
74,2025-02-01,175510.83051711702,129908.2035256881,944663.0770741317,793093.3140486982,79558698.06245674
75,2025-03-01,167024.4330730748,123125.18247023932,927725.5676216017,776483.2751248187,79681823.24492697
76,2025-04-01,154986.64329747262,113787.71551684187,895839.9664390626,747478.8413523777,79795610.96044381
77,2025-05-01,154591.35878311895,113036.97984878853,858169.4578803661,713831.4530694436,79908647.9402926
78,2025-06-01,162108.10946183078,118052.25765495868,828204.1487346367,686769.9884928666,80026700.19794756
79,2025-07-01,148674.85995983484,107830.42556933836,800979.2227800097,662119.825159219,80134530.6235169
80,2025-08-01,153493.2238409636,110873.3612724064,781303.6267731504,643822.9817161803,80245403.98478931
81,2025-09-01,136062.75718557357,97883.95271661713,755659.1147746166,620717.3383199045,80343287.93750593
82,2025-10-01,142892.0761158169,102379.87680182235,737861.1501190481,604170.449805368,80445667.81430775
83,2025-11-01,127424.59469400928,90927.22609261137,717675.8727544138,585760.4144262952,80536595.04040036
84,2025-12-01,118812.62528261199,84437.91457209838,699329.2792890309,568949.8296193137,80621032.95497246
85,2026-01-01,122723.82071412558,86863.63494271107,682491.3183001319,553456.5334592905,80707896.58991517
86,2026-02-01,120201.83091347918,84733.36221968364,667410.1369358307,539468.827518707,80792629.95213485
87,2026-03-01,114261.54834462442,80219.08178296205,654159.548118888,527032.822128045,80872849.03391781
88,2026-04-01,107863.37150101711,75419.87317908696,641148.3419967764,514855.8278597648,80948268.90709691
89,2026-05-01,115856.43504880948,80680.05634524026,633498.1924018721,507036.83669738745,81028948.96344215
90,2026-06-01,107247.46316097555,74381.90298085775,633134.5389350016,505067.44533741655,81103330.86642301
91,2026-07-01,111791.07821111927,77218.54728029786,625573.7208326726,497370.7355603968,81180549.41370331
92,2026-08-01,110258.88163673868,75851.17106114312,615918.4002553542,488054.97468042857,81256400.58476445
93,2026-09-01,101080.89085866543,69255.13705182678,600063.778647779,473897.34462316043,81325655.72181627
94,2026-10-01,106609.37799345943,72746.57764082793,592249.9718513702,466153.8901868119,81398402.2994571
95,2026-11-01,109080.55026299214,74130.80264963237,584334.9401212462,458365.89892091067,81472533.10210674
96,2026-12-01,95557.75734340608,64677.25151720305,579934.1525099614,453361.2460690818,81537210.35362394
97,2027-01-01,107005.1875702243,72131.45043104044,571978.0213600077,445602.3896431291,81609341.80405498
98,2027-02-01,106522.89275817797,71514.97799020034,562570.9892115794,436753.50546565943,81680856.78204517
99,2027-03-01,92643.91989262962,61944.849916121915,554152.8832390642,428714.94413877965,81742801.63196129
100,2027-04-01,90190.3238823012,60059.60260321676,546872.0343521127,421592.67396979127,81802861.2345645
101,2027-05-01,101191.30018702304,67111.9578977424,546494.8538437717,419807.9889941629,81869973.19246224
102,2027-06-01,86512.80311370561,57144.092720065266,538058.0454445122,411849.2791005429,81927117.2851823
103,2027-07-01,89413.92982198556,58820.72402131215,531144.2614339017,405092.9182148194,81985938.00920361
104,2027-08-01,81594.37537616359,53458.85223689167,519041.9788577179,394429.2127934891,82039396.86144051
105,2027-09-01,92836.66136964045,60577.75116421879,520584.8568988744,394163.9274656117,82099974.61260472
106,2027-10-01,94568.26542516927,61457.272401652386,510346.42027413734,384996.7209823753,82161431.88500637
107,2027-11-01,87283.6912420871,56493.07148663038,503979.75469808164,378792.14529174706,82217924.956493
108,2027-12-01,82967.21578418397,53481.407048250934,491579.5953385062,368098.82031718065,82271406.36354126
109,2028-01-01,87211.08232717079,55988.93540773284,486573.9920547166,362984.5699685779,82327395.29894899
110,2028-02-01,90976.72866456473,58169.465732875404,482616.50359274616,358670.12171251816,82385564.76468186
111,2028-03-01,85140.52976909147,54216.98111834403,477773.1924842704,353714.6700195767,82439781.74580021
112,2028-04-01,78983.15646826125,50091.921866009725,471047.95145281655,347391.78211625497,82489873.66766623
113,2028-05-01,74438.33775036025,47017.99444029923,461847.0382255152,339281.6220982091,82536891.66210653
114,2028-06-01,74476.80684046017,46851.414471781536,454155.15069535683,332321.7580512969,82583743.0765783
115,2028-07-01,74807.02210716004,46868.1974357307,450831.1101761428,328582.5748672889,82630611.27401404
116,2028-08-01,76450.62751305736,47703.60095926433,451164.2363672968,327507.3065959533,82678314.87497331
117,2028-09-01,74203.76720916906,46113.73381744283,447747.1122104883,323721.01120988105,82724428.60879076
118,2028-10-01,69080.78166763578,42755.875346510475,440016.5411133876,316844.3724333758,82767184.48413727
119,2028-11-01,66691.46344899414,41109.579235874815,432502.955437775,310162.36978340003,82808294.06337315
