portfolio_scope,fit_provenance,fit_end,month,as_of_month,undiscounted_loss,discounted_loss,marginal_pd_dollars,expected_default_exposure,cumulative_discounted_loss,scenario
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,35,2021-11-01,296394.2138873677,257079.5901984684,1200173.6625454668,1129087.437204832,10770074.525810124,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,36,2021-12-01,291641.2135489959,251930.64554496997,1183403.1261444595,1111082.7041276114,11022005.171355095,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,37,2022-01-01,283116.1151986745,243573.9944548968,1175086.175409833,1101048.4297291853,11265579.16580999,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,38,2022-02-01,279194.8730427562,239225.78692962957,1161318.4747460014,1085935.314629887,11504804.95273962,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,39,2022-03-01,275114.8310466274,234773.34148729048,1146861.676319054,1070218.6645063688,11739578.29422691,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,40,2022-04-01,269493.27691488795,229042.9551322579,1125568.1732974658,1048177.5102630325,11968621.249359168,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,41,2022-05-01,265299.0508714494,224563.37380078892,1110196.890849715,1031707.9262980951,12193184.623159956,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,42,2022-06-01,261474.11673820467,220427.69428698168,1096342.2036138058,1016689.3497499453,12413612.317446938,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,43,2022-07-01,257405.07181741192,216116.92429179157,1081426.6360959525,1000728.7410473516,12629729.24173873,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,44,2022-08-01,253289.25807121914,211798.400151315,1066272.4558461842,984593.1031760372,12841527.641890043,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,45,2022-09-01,249169.99170100637,207508.48813146193,1051059.1851379573,968447.2274197806,13049036.130021505,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,46,2022-10-01,245045.11454088718,203245.24878163642,1035776.4704204897,952283.4804142901,13252281.378803141,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,47,2022-11-01,240928.091773895,199019.67813225146,1020480.6385819092,936154.8382483107,13451301.056935392,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,48,2022-12-01,236826.40362673684,194837.6683597775,1005202.2745733319,920090.122091844,13646138.72529517,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,49,2023-01-01,232743.67436386822,190701.85393261752,989955.6752661924,904103.1655087528,13836840.579227787,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,50,2023-02-01,228683.58131517252,186614.86663519058,974755.6709673505,888208.1887202911,14023455.445862977,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,51,2023-03-01,224650.94832946398,182580.22384585044,959622.3190117539,872424.0105444036,14206035.669708828,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,52,2023-04-01,220651.61926131917,178602.20770762852,944580.3583832695,856773.4886254895,14384637.877416456,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,53,2023-05-01,216691.99622833027,174685.47677412353,929657.217604908,841281.6721459575,14559323.35419058,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,54,2023-06-01,212778.59176357414,170834.6980724765,914881.0738704501,825974.0286816168,14730158.052263057,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,55,2023-07-01,208911.8715120923,167049.62264325054,900257.1974259383,810855.7893615344,14897207.674906308,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,56,2023-08-01,205097.4911661235,163334.1332650604,885799.2339008861,795938.1857311869,15060541.80817137,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,57,2023-09-01,201370.23945376516,159715.1508167881,871672.4410381739,781367.7798132059,15220256.958988158,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,58,2023-10-01,197714.8010636605,156179.5749725308,857807.6205216902,767082.2935811804,15376436.533960689,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,59,2023-11-01,194129.4245050699,152725.18035028176,844197.1663131892,753074.2242800489,15529161.71431097,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,60,2023-12-01,190615.10612507933,149351.92337316184,830846.4483645409,739347.5804289236,15678513.637684133,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,61,2024-01-01,187171.53011078085,146058.73011357067,817754.7184599257,725900.9460740488,15824572.367797704,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,62,2024-02-01,183798.4296490597,142844.57502145108,804921.4127105803,712733.0173228092,15967416.942819156,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,63,2024-03-01,180495.95435171967,139708.76446693914,792347.9198171422,699844.1234400102,16107125.707286095,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,64,2024-04-01,177264.5838426538,136650.86351166613,780037.2515274967,687235.911925876,16243776.570797762,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,65,2024-05-01,174104.91905237758,133670.53049073782,767993.12158759,674910.5312991668,16377447.1012885,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,66,2024-06-01,171017.49479054587,130767.3718287136,756219.0966885507,662869.8917551595,16508214.473117214,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,67,2024-07-01,167995.20843492783,127935.17724007883,744684.3823401987,651086.0192546761,16636149.650357293,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,68,2024-08-01,165044.1314000114,125177.8222264848,733420.44038671,639584.5471532544,16761327.472583778,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,69,2024-09-01,162187.13691133316,122511.80475470677,722526.5490988159,628450.7206500517,16883839.277338486,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,70,2024-10-01,159406.39617162754,119922.72788911208,711926.3044921298,617616.213998624,17003762.0052276,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,71,2024-11-01,156696.2078931835,117405.50664517508,701596.2630285434,607059.1164110412,17121167.511872776,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,72,2024-12-01,154053.14702882114,114956.83021323245,691522.5566118953,596765.9794839495,17236124.34208601,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,73,2025-01-01,151472.94148939193,112572.80556866396,681687.4538899879,586720.1211983159,17348697.147654675,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,74,2025-02-01,148951.80064900767,110249.95310669365,672075.3042334236,576906.7678207401,17458947.10076137,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,75,2025-03-01,146486.80496743091,107985.48607080903,662674.2794900781,567314.5246966657,17566932.586832177,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,76,2025-04-01,144075.82904750685,105777.24053965746,653476.0474516544,557935.0590408063,17672709.827371836,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,77,2025-05-01,141717.32399167068,103623.50407143187,644474.81762677,548762.2522496815,17776333.33144327,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,78,2025-06-01,139410.1048088228,101522.8520475158,635666.4039371494,539791.3787086535,17877856.183490783,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,79,2025-07-01,137150.5777466071,99472.13112891169,627033.7403484767,531006.694637708,17977328.314619694,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,80,2025-08-01,134930.25646709543,97464.7003789246,618546.806444785,522381.2424998638,18074793.01499862,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,81,2025-09-01,132780.8985078937,95522.9738104606,610343.1152117791,514031.9639548707,18170315.98880908,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,82,2025-10-01,130683.9976290802,93632.98470371858,602341.7499847335,505888.0511501869,18263948.9735128,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,83,2025-11-01,128633.63464159599,91789.96886949214,594517.4674114612,497926.7730194159,18355738.94238229,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,84,2025-12-01,126626.9912133428,89991.43854587365,586858.2885190897,490136.8900816024,18445730.380928166,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,85,2026-01-01,124660.37660897872,88234.32470218754,579348.2567930918,482503.89461756096,18533964.705630355,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,86,2026-02-01,122730.52126829368,86515.90108908026,571973.3060432225,475015.00811369234,18620480.606719434,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,87,2026-03-01,120834.98211447406,84834.06231506563,564723.0878033148,467660.7026401457,18705314.6690345,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,88,2026-04-01,118972.09361798086,83187.27745714835,557590.7543701663,460434.4798099098,18788501.946491648,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,89,2026-05-01,117140.7723103494,81574.4425964975,550572.0815046076,453332.09818560025,18870076.389088146,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,90,2026-06-01,115340.31805069628,79994.73455284412,543664.574123824,446350.79731466435,18950071.12364099,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,91,2026-07-01,113562.37887847458,78442.0551533635,536831.2555133555,439459.37397103745,19028513.178794354,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,92,2026-08-01,111815.13667811963,76921.77658158964,530108.0007371772,432686.4080374402,19105434.955375943,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,93,2026-09-01,110116.94130921642,75446.14810291785,523583.44321011804,426105.4426359854,19180881.10347886,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,94,2026-10-01,108451.89377593096,74003.84712262005,517184.13223802083,419654.37829313485,19254884.95060148,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,95,2026-11-01,106815.33506504502,72591.36944735105,510888.9266982885,413314.9858947133,19327476.32004883,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,96,2026-12-01,105204.61623479839,71206.62533483378,504686.0408734735,407076.9747395731,19398682.945383664,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,97,2027-01-01,103616.50375683513,69847.1623132187,498560.7344248133,400927.7220613914,19468530.107696883,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,98,2027-02-01,102048.3767498476,68510.97663831273,492501.01364192105,394856.9761186361,19537041.084335197,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,99,2027-03-01,100498.52767785461,67196.70563390305,486499.1123009967,388858.0372514532,19604237.7899691,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,100,2027-04-01,98966.05310026697,65903.54224880763,480551.02695296094,382927.3340992107,19670141.33221791,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,101,2027-05-01,97450.62897174351,64631.07496961365,474655.4897478803,377063.5485308281,19734772.40718752,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,102,2027-06-01,95952.29831274583,63379.13966653405,468812.98478414735,371266.78913798387,19798151.546854056,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,103,2027-07-01,94459.66378846686,62140.047148237056,462972.7648868974,365495.0612095265,19860291.594002295,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,104,2027-08-01,92995.9558276725,60928.91866995498,457235.8808252753,359831.16619420494,19921220.51267225,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,105,2027-09-01,91563.50672403266,59746.9926666882,451623.4545976698,354291.7180789843,19980967.505338937,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,106,2027-10-01,90151.544190276,58586.968723831575,446082.7966282562,348832.97613289434,20039554.474062767,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,107,2027-11-01,88757.28653847217,57446.83413388313,440600.47303734877,343443.5708655919,20097001.30819665,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,108,2027-12-01,87378.55752888066,56324.99726936619,435166.50590377627,338115.0564551802,20153326.305466015,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,109,2028-01-01,86012.93178445329,55219.73072003858,429769.3834268225,332837.841047475,20208546.036186054,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,110,2028-02-01,84658.65212316043,54129.76082957029,424400.65347446915,327604.90689601266,20262675.797015626,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,111,2028-03-01,83314.79682269144,53054.3652766225,419055.8465235451,322412.5182398438,20315730.16229225,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,112,2028-04-01,81981.13515592314,51993.27046859017,413733.8430384168,317259.6694913044,20367723.43276084,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,113,2028-05-01,80657.91162467598,50946.50626204786,408435.86173358577,312147.2385298322,20418669.939022887,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,114,2028-06-01,79345.65458460108,49914.279454022166,403164.5463557922,307077.2319143271,20468584.21847691,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,115,2028-07-01,78043.53247216993,48895.94032025268,397914.8903797068,302045.4044449226,20517480.158797164,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,116,2028-08-01,76740.36816622126,47884.39309858127,392637.3699168628,297011.8238564138,20565364.551895745,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,117,2028-09-01,75474.70592565881,46903.55530326153,387514.34471597825,292123.1958611123,20612268.107199006,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,118,2028-10-01,74228.09229538467,45941.67849258151,382457.9713513579,287308.1061441685,20658209.78569159,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,119,2028-11-01,72995.72618239808,44995.617642587145,377445.60663101065,282548.0342212341,20703205.403334178,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,120,2028-12-01,71776.28885951902,44064.41502082867,372470.9575285837,277837.6914579843,20747269.818355005,baseline
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,1,2019-01-01,446066.30231430853,444256.34696510126,1584710.7363396734,1584710.7363396734,444256.34696510126,adverse
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,2,2019-02-01,462387.16963913373,458642.4248473843,1603393.873950861,1600834.693870148,902898.7718124855,adverse
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,3,2019-03-01,421659.7797691783,416547.80742554966,1462547.5924126972,1457830.0554911527,1319446.5792380353,adverse
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,4,2019-04-01,516234.9088977794,507907.0831339241,1601028.6701094736,1593205.063076883,1827353.6623719593,adverse
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,5,2019-05-01,523914.4917710008,513371.24211629806,1632918.149551996,1622189.5752592997,2340724.904488257,adverse
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,6,2019-06-01,530716.8751388257,517926.63716299756,1661482.0931623937,1647753.5164683347,2858651.5416512545,adverse
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,7,2019-07-01,615639.419192552,598364.7420730278,1748174.4504667448,1730761.106556298,3457016.2837242824,adverse
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,8,2019-08-01,641679.119146862,621143.1609000331,1829329.41677136,1807999.8646425668,4078159.4446243155,adverse
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,9,2019-09-01,676032.1864990288,651741.5352126866,1934989.7872119846,1909144.6463442743,4729900.979837002,adverse
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,10,2019-10-01,793611.6564708865,761991.7842580624,2111237.9855367877,2079460.1958101995,5491892.764095064,adverse
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,11,2019-11-01,852693.1952186506,815397.3074718532,2277450.902028534,2239316.2788697546,6307290.071566917,adverse
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,12,2019-12-01,915882.7666138373,872269.3015369879,2455687.2112617255,2410413.6699271537,7179559.373103905,adverse
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,13,2020-01-01,1017486.0752632598,965102.410708457,2685227.1021042573,2631173.8402242465,8144661.783812362,adverse
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,14,2020-02-01,1091897.7106420002,1031480.7004392163,2892199.973378011,2829075.731177874,9176142.484251577,adverse
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,15,2020-03-01,1166481.0254032786,1097465.9504856362,3100656.944605154,3027715.674601207,10273608.434737213,adverse
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,16,2020-04-01,1258564.335928349,1179296.5341201874,3294201.5627179528,3211094.571770125,11452904.9688574,adverse
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,17,2020-05-01,1324570.8900066428,1236109.7519217064,3478134.8168972316,3384440.4473929824,12689014.720779106,adverse
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,18,2020-06-01,1387206.2885914368,1289309.25545814,3653760.5073980684,3549065.425215518,13978323.976237247,adverse
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,19,2020-07-01,1446812.9240143988,1339253.0867550527,3861263.7999229543,3743970.632496574,15317577.062992299,adverse
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,20,2020-08-01,1504356.6202914142,1386868.5607387747,4026552.3554972936,3897276.5519424938,16704445.623731073,adverse
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,21,2020-09-01,1555017.030007344,1427755.6131888821,4173955.938182763,4032699.2615364147,18132201.236919954,adverse
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,22,2020-10-01,1532832.5224409164,1401676.067129246,4237960.025859519,4087143.477169442,19533877.3040492,adverse
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,23,2020-11-01,1556540.3225822987,1417579.9188487425,4314767.224322712,4153650.3563966155,20951457.222897943,adverse
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,24,2020-12-01,1576204.8673916482,1429664.2788132862,4380304.079804826,4209018.216169942,22381121.50171123,adverse
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,25,2021-01-01,1445757.6273791124,1306023.8837715373,4366562.483308473,4188077.3560680766,23687145.38548277,adverse
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,26,2021-02-01,1442811.197619884,1298073.7160351514,4367731.708002868,4181419.1498180665,24985219.10151792,adverse
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,27,2021-03-01,1435698.9633907739,1286433.8640302625,4355945.0111792255,4162334.8979828022,26271652.96554818,adverse
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,28,2021-04-01,1244040.4932886392,1110178.516719964,4240229.522738302,4044130.632051533,27381831.482268143,adverse
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,29,2021-05-01,1218501.4131184225,1082975.332111776,4161658.5723883742,3961660.237055342,28464806.81437992,adverse
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,30,2021-06-01,1191768.0097366227,1054917.449106302,4078492.4353245697,3875064.9907729123,29519724.26348622,adverse
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,31,2021-07-01,1066842.943725539,940505.774715689,3992966.620456606,3786494.5289332736,30460230.03820191,adverse
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,32,2021-08-01,1040007.7600698428,913128.2569002607,3900230.409294975,3691373.25191759,31373358.29510217,adverse
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,33,2021-09-01,1012226.0104578002,885129.7141589974,3803628.4878249005,3592898.796383323,32258488.00926117,adverse
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,34,2021-10-01,850621.0706754584,740797.9792817421,3629011.0485668853,3421197.0375584583,32999285.98854291,adverse
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,35,2021-11-01,819068.1047305979,710424.4375998346,3501127.292949376,3294074.768744396,33709710.426142745,adverse
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,36,2021-12-01,789651.7365024356,682130.8597364738,3381901.734774262,3175519.809730501,34391841.28587922,adverse
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,37,2022-01-01,721712.2136143767,620912.4711731087,3270940.7076458978,3065119.8269303055,35012753.757052325,adverse
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,38,2022-02-01,696397.0908239245,596702.0105069956,3162349.998652813,2957322.0978499926,35609455.76755932,adverse
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,39,2022-03-01,671862.4878006314,573343.8676527933,3056980.3639176055,2852910.8341657915,36182799.635212116,adverse
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,40,2022-04-01,650904.923078786,553205.5893890986,2961114.7164968043,2757721.2711305204,36736005.22460122,adverse
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,41,2022-05-01,626653.5460619102,530433.2376827014,2850482.3671075925,2649143.891399491,37266438.46228392,adverse
