portfolio_scope,fit_provenance,fit_end,origin,destination,feature,coefficient,selected_macro_timing,bic,regularization_c
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,Current,DPD30,mob_spline_3,-0.1425756073684592,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",346973.6037261939,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,Current,DPD30,mob_spline_4,-0.4640816518811835,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",346973.6037261939,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,Current,DPD30,mob_spline_5,-0.5880410988923508,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",346973.6037261939,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,Current,DPD30,score_risk,0.1935956537831397,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",346973.6037261939,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,Current,DPD30,score_risk_positive,0.1496291630804094,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",346973.6037261939,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,Current,DPD30,unemployment_rate_excess_4_8,0.1486300046002231,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",346973.6037261939,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,Current,DPD30,unemployment_change_3m,0.1242384689299915,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",346973.6037261939,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,Current,DPD30,hpi_change_yoy,-0.0899123343919239,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",346973.6037261939,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,Current,Prepaid,intercept,-1.4476133211454831,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",346973.6037261939,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,Current,Prepaid,mob_spline_0,-0.5674871742504837,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",346973.6037261939,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,Current,Prepaid,mob_spline_1,-0.6045392168738553,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",346973.6037261939,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,Current,Prepaid,mob_spline_2,-0.4230408215691205,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",346973.6037261939,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,Current,Prepaid,mob_spline_3,-0.2695331948588347,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",346973.6037261939,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,Current,Prepaid,mob_spline_4,0.0480713495076424,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",346973.6037261939,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,Current,Prepaid,mob_spline_5,0.3691636951010332,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",346973.6037261939,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,Current,Prepaid,score_risk,-0.1591238941340652,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",346973.6037261939,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,Current,Prepaid,score_risk_positive,-0.0242389392532821,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",346973.6037261939,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,Current,Prepaid,unemployment_rate_excess_4_8,-0.0791710300408254,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",346973.6037261939,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,Current,Prepaid,unemployment_change_3m,-0.0512093053047858,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",346973.6037261939,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,Current,Prepaid,hpi_change_yoy,-0.0797456266705957,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",346973.6037261939,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD30,Current,intercept,0.2448259440574032,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",67416.64553020062,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD30,Current,mob_spline_0,0.0466045296347979,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",67416.64553020062,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD30,Current,mob_spline_1,0.0653373569393231,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",67416.64553020062,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD30,Current,mob_spline_2,0.0468438592563499,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",67416.64553020062,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD30,Current,mob_spline_3,0.0386093056059045,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",67416.64553020062,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD30,Current,mob_spline_4,0.0616629062069619,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",67416.64553020062,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD30,Current,mob_spline_5,-0.0144996568750901,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",67416.64553020062,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD30,Current,score_risk,-0.2375566782011121,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",67416.64553020062,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD30,Current,score_risk_positive,0.0939554972441676,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",67416.64553020062,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD30,Current,unemployment_rate_excess_4_8,-0.0665539471305228,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",67416.64553020062,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD30,Current,unemployment_change_3m,-0.1523650974969416,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",67416.64553020062,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD30,Current,hpi_change_yoy,0.0180238367589437,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",67416.64553020062,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD30,DPD30,intercept,0.0911420713323179,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",67416.64553020062,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD30,DPD30,mob_spline_0,0.0754614118023439,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",67416.64553020062,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD30,DPD30,mob_spline_1,-0.0206375143469853,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",67416.64553020062,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD30,DPD30,mob_spline_2,0.018108197220777,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",67416.64553020062,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD30,DPD30,mob_spline_3,-0.0004989183396814,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",67416.64553020062,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD30,DPD30,mob_spline_4,-0.0177522791895746,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",67416.64553020062,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD30,DPD30,mob_spline_5,0.036366965976848,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",67416.64553020062,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD30,DPD30,score_risk,-0.0537469829477198,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",67416.64553020062,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD30,DPD30,score_risk_positive,0.0393043506565886,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",67416.64553020062,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD30,DPD30,unemployment_rate_excess_4_8,-0.0308436590336057,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",67416.64553020062,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD30,DPD30,unemployment_change_3m,-0.0022656644036718,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",67416.64553020062,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD30,DPD30,hpi_change_yoy,0.0112049051272544,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",67416.64553020062,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD30,DPD60,intercept,-0.3359680153897729,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",67416.64553020062,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD30,DPD60,mob_spline_0,-0.1220659414371417,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",67416.64553020062,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD30,DPD60,mob_spline_1,-0.0446998425923375,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",67416.64553020062,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD30,DPD60,mob_spline_2,-0.064952056477127,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",67416.64553020062,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD30,DPD60,mob_spline_3,-0.0381103872662233,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",67416.64553020062,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD30,DPD60,mob_spline_4,-0.0439106270173876,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",67416.64553020062,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD30,DPD60,mob_spline_5,-0.0218673091017578,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",67416.64553020062,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD30,DPD60,score_risk,0.2913036611488331,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",67416.64553020062,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD30,DPD60,score_risk_positive,-0.1332598479007561,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",67416.64553020062,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD30,DPD60,unemployment_rate_excess_4_8,0.0973976061641293,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",67416.64553020062,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD30,DPD60,unemployment_change_3m,0.1546307619006134,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",67416.64553020062,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD30,DPD60,hpi_change_yoy,-0.0292287418861982,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",67416.64553020062,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD60,DPD30,intercept,0.1427489323483317,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",37025.86439201088,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD60,DPD30,mob_spline_0,0.0265417990165383,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",37025.86439201088,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD60,DPD30,mob_spline_1,-0.0349895139622952,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",37025.86439201088,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD60,DPD30,mob_spline_2,0.0437905639116018,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",37025.86439201088,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD60,DPD30,mob_spline_3,0.0275498053883029,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",37025.86439201088,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD60,DPD30,mob_spline_4,0.0047073880396545,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",37025.86439201088,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD60,DPD30,mob_spline_5,0.074865590158481,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",37025.86439201088,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD60,DPD30,score_risk,-0.2346984922078025,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",37025.86439201088,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD60,DPD30,score_risk_positive,0.077848673612765,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",37025.86439201088,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD60,DPD30,unemployment_rate_excess_4_8,-0.0827311904763447,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",37025.86439201088,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD60,DPD30,unemployment_change_3m,-0.1188203990733976,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",37025.86439201088,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD60,DPD30,hpi_change_yoy,0.0125100455065719,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",37025.86439201088,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD60,DPD60,intercept,0.1194982732741544,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",37025.86439201088,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD60,DPD60,mob_spline_0,-0.0118656686000807,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",37025.86439201088,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD60,DPD60,mob_spline_1,0.0415458796626104,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",37025.86439201088,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD60,DPD60,mob_spline_2,0.0554947388518339,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",37025.86439201088,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD60,DPD60,mob_spline_3,0.0269486675032556,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",37025.86439201088,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD60,DPD60,mob_spline_4,0.012071987947218,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",37025.86439201088,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD60,DPD60,mob_spline_5,-0.0049149727397568,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",37025.86439201088,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD60,DPD60,score_risk,0.021980182980527,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",37025.86439201088,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD60,DPD60,score_risk_positive,-0.0343853408874169,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",37025.86439201088,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD60,DPD60,unemployment_rate_excess_4_8,-0.0019640229333384,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",37025.86439201088,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD60,DPD60,unemployment_change_3m,-0.0232108576889603,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",37025.86439201088,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD60,DPD60,hpi_change_yoy,0.010989872927659,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",37025.86439201088,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD60,DPD90,intercept,-0.2622472056225488,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",37025.86439201088,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD60,DPD90,mob_spline_0,-0.0146761304164575,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",37025.86439201088,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD60,DPD90,mob_spline_1,-0.0065563657003149,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",37025.86439201088,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD60,DPD90,mob_spline_2,-0.0992853027634361,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",37025.86439201088,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD60,DPD90,mob_spline_3,-0.0544984728915582,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",37025.86439201088,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD60,DPD90,mob_spline_4,-0.0167793759868725,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",37025.86439201088,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD60,DPD90,mob_spline_5,-0.0699506174187243,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",37025.86439201088,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD60,DPD90,score_risk,0.2127183092272757,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",37025.86439201088,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD60,DPD90,score_risk_positive,-0.0434633327253478,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",37025.86439201088,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD60,DPD90,unemployment_rate_excess_4_8,0.0846952134096846,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",37025.86439201088,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD60,DPD90,unemployment_change_3m,0.1420312567623584,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",37025.86439201088,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD60,DPD90,hpi_change_yoy,-0.0234999184342309,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",37025.86439201088,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD90,DPD120,intercept,-0.1681303660426996,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",23153.68900970848,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD90,DPD120,mob_spline_0,0.2445087570683952,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",23153.68900970848,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD90,DPD120,mob_spline_1,-0.0746921575351359,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",23153.68900970848,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD90,DPD120,mob_spline_2,-0.1100669017587898,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",23153.68900970848,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD90,DPD120,mob_spline_3,-0.0871181433370355,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",23153.68900970848,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD90,DPD120,mob_spline_4,-0.0970615071694191,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",23153.68900970848,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD90,DPD120,mob_spline_5,-0.0417173234625948,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",23153.68900970848,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD90,DPD120,score_risk,0.248328408062185,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",23153.68900970848,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD90,DPD120,score_risk_positive,-0.0848738501811481,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",23153.68900970848,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD90,DPD120,unemployment_rate_excess_4_8,0.0987251893874706,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",23153.68900970848,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD90,DPD120,unemployment_change_3m,0.1129145589704552,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",23153.68900970848,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD90,DPD120,hpi_change_yoy,0.0037831970045797,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",23153.68900970848,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD90,DPD60,intercept,-0.02122914289353,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",23153.68900970848,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD90,DPD60,mob_spline_0,-0.1752035067345509,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",23153.68900970848,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD90,DPD60,mob_spline_1,0.0100388749578079,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",23153.68900970848,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD90,DPD60,mob_spline_2,0.0468770891586683,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",23153.68900970848,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD90,DPD60,mob_spline_3,0.0451665001293363,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",23153.68900970848,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD90,DPD60,mob_spline_4,0.0733429394551063,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",23153.68900970848,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD90,DPD60,mob_spline_5,-0.0214444283273176,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",23153.68900970848,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD90,DPD60,score_risk,-0.2333123411652575,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",23153.68900970848,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD90,DPD60,score_risk_positive,0.0301449369100739,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",23153.68900970848,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD90,DPD60,unemployment_rate_excess_4_8,-0.0850368374374778,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",23153.68900970848,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD90,DPD60,unemployment_change_3m,-0.0910546321182015,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",23153.68900970848,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD90,DPD60,hpi_change_yoy,0.0139671213714901,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",23153.68900970848,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD90,DPD90,intercept,0.1893595089362132,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",23153.68900970848,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD90,DPD90,mob_spline_0,-0.0693052503338436,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",23153.68900970848,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD90,DPD90,mob_spline_1,0.064653282577328,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",23153.68900970848,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD90,DPD90,mob_spline_2,0.0631898126001204,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",23153.68900970848,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD90,DPD90,mob_spline_3,0.0419516432076999,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",23153.68900970848,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD90,DPD90,mob_spline_4,0.0237185677143123,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",23153.68900970848,10.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD90,DPD90,mob_spline_5,0.063161751789913,"unemployment_rate,unemployment_change_3m,hpi_change_yoy",23153.68900970848,10.0
