portfolio_scope,fit_provenance,fit_end,origin_state,destination_state,baseline_expected_balance_flow,severely_adverse_expected_balance_flow,increase_in_expected_balance_flow
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD120,Repurchased,50651.8902429695,184261.67615976447,133609.78591679496
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD150,Repurchased,28294.718254482632,125117.89068433327,96823.17242985063
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD60,ChargeOff,0.0,0.0,0.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD60,DPD150,0.0,0.0,0.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,Current,DPD90,0.0,0.0,0.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,Current,DPD120,0.0,0.0,0.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,Current,DPD150,0.0,0.0,0.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD150,DPD90,0.0,0.0,0.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD150,DPD60,0.0,0.0,0.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD150,DPD30,0.0,0.0,0.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD150,Current,0.0,0.0,0.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,Current,ChargeOff,0.0,0.0,0.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD120,ChargeOff,0.0,0.0,0.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD30,DPD90,0.0,0.0,0.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD120,DPD60,0.0,0.0,0.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD120,DPD30,0.0,0.0,0.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD120,Current,0.0,0.0,0.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD30,DPD120,0.0,0.0,0.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD30,DPD150,0.0,0.0,0.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD90,ChargeOff,0.0,0.0,0.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD90,DPD150,0.0,0.0,0.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD30,ChargeOff,0.0,0.0,0.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD60,Current,0.0,0.0,0.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD90,DPD30,0.0,0.0,0.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,Current,DPD60,0.0,0.0,0.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD60,DPD120,0.0,0.0,0.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,DPD90,Current,0.0,0.0,0.0
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,Current,Repurchased,21019310.083841555,18436915.25876157,-2582394.825079985
"Local synthetic portfolio (25,000 loans)",production_full_history,full_available_history,Current,Prepaid,2687266630.2490244,2307974826.128012,-379291804.1210122
