vintage,max_observed_mob,status,original_accounts,original_balance,average_outstanding_balance,observed_rate_original_balance,ultimate_rate_original_balance_chain_ladder,ultimate_rate_original_balance_scaled_average,observed_rate_average_outstanding,ultimate_rate_average_outstanding_chain_ladder,ultimate_rate_average_outstanding_scaled_average,realized_rate_original_balance,realized_rate_average_outstanding,era,error_chain_ladder,absolute_error_chain_ladder,absolute_percentage_error_chain_ladder,error_scaled_average,absolute_error_scaled_average,absolute_percentage_error_scaled_average
2011-Q3,87,Projected,300,134545000.0,101998581.96068183,0.0053503164740421405,0.00635024791729094,0.006348049925896119,0.007057532724106783,0.008376529257644576,0.009755930615576783,0.01144377145193058,0.01747429781727819,2011+,-0.00509352353463964,0.00509352353463964,0.44509133689316693,-0.005095721526034461,0.005095721526034461,0.44528340568832364
2011-Q4,84,Projected,337,147090000.0,109901382.68882352,0.003331069413284384,0.004109843662177778,0.004108359940505887,0.0044582423624942025,0.005500539569928506,0.006493754277632854,0.01044154606023523,0.016464944762192707,2011+,-0.006331702398057451,0.006331702398057451,0.6063951029408005,-0.006333186119729342,0.006333186119729342,0.6065372008316043
2012-Q1,81,Projected,335,151065000.0,113972479.67792684,0.004645981464932314,0.005813710025420662,0.005810054378522922,0.006158023340225062,0.00770579097227682,0.009221102628793202,0.009702924833680866,0.015194084600922348,2011+,-0.0038892148082602038,0.0038892148082602038,0.4008291185313455,-0.003892870455157944,0.003892870455157944,0.40120587574222805
2012-Q2,78,Projected,329,138350000.0,105961278.90949367,0.004101095771593784,0.005290858707732083,0.005288649404063405,0.005354659794967467,0.006908092368722352,0.008382023151917497,0.012122648717022044,0.019555119432332617,2011+,-0.006831790009289961,0.006831790009289961,0.5635558835996862,-0.0068339993129586385,0.0068339993129586385,0.563738129552716
2012-Q3,75,Projected,327,141475000.0,106488515.0431579,0.006429230464746422,0.008557598044334116,0.008559181522746463,0.008541535015596426,0.011369171434417116,0.013990089161690216,0.014112898745361374,0.023037627623876015,2011+,-0.005555300701027258,0.005555300701027258,0.39363286035430345,-0.0055537172226149106,0.0055537172226149106,0.393520659562608
2012-Q4,72,Projected,331,144060000.0,116074229.70136987,0.005344439608496459,0.007242320011470786,0.007246266334489119,0.006632996591756953,0.008988460432058918,0.011213426500303731,0.010591472094960433,0.016216279108487337,2011+,-0.003349152083489647,0.003349152083489647,0.3162121425106921,-0.003345205760471314,0.003345205760471314,0.3158395481269321
2013-Q1,69,Projected,319,141970000.0,113547978.40728572,0.002867964288229908,0.004141404073081042,0.004152107055986721,0.0035858400625992525,0.0051780326211214155,0.0065523707579855945,0.013030505318024936,0.020338834816939908,2011+,-0.008889101244943895,0.008889101244943895,0.6821762493468086,-0.008878398262038215,0.008878398262038215,0.6813548703868635
2013-Q2,66,Projected,345,149375000.0,122424957.96283582,0.0029695061422594145,0.0044410124504353065,0.004454781025542881,0.003623198956985987,0.005418635593774542,0.006947459863639657,0.013828318192468618,0.02148527282931443,2011+,-0.009387305742033312,0.009387305742033312,0.6788465243116812,-0.009373537166925738,0.009373537166925738,0.6778508446552012
2013-Q3,63,Projected,330,144865000.0,119703670.895625,0.0,0.0,0.0,0.0,0.0,0.0,0.015529950160494254,0.023620221645474865,2011+,-0.015529950160494254,0.015529950160494254,1.0,-0.015529950160494254,0.015529950160494254,1.0
2013-Q4,60,Projected,337,148240000.0,124521594.97114754,0.0033275172692930383,0.0056896576763489195,0.005718230142473071,0.00396133024247155,0.00677340226919993,0.00892453565218116,0.019376180450620614,0.03097662642085837,2011+,-0.013686522774271695,0.013686522774271695,0.7063581395286458,-0.013657950308147543,0.013657950308147543,0.704883521442952
2014-Q1,57,Projected,325,143845000.0,121419194.72172415,0.00413057443776287,0.0075423476747818905,0.007589530364085571,0.004893480650746675,0.008935399413292983,0.01193712612636118,0.01627822399110153,0.02594076633075554,2011+,-0.008735876316319637,0.008735876316319637,0.536660284383302,-0.008688693627015957,0.008688693627015957,0.533761768591317
2014-Q2,54,Projected,322,143765000.0,122868387.4949091,0.007534039578478767,0.014405639543556127,0.014516901724106974,0.008815377348749516,0.01685565189878607,0.022832362852071072,0.025276135985810178,0.04150103805762126,2011+,-0.010870496442254051,0.010870496442254051,0.43006955051819085,-0.010759234261703204,0.010759234261703204,0.42566768384785364
2014-Q3,51,Projected,333,149055000.0,129799436.18096152,0.005762526248700144,0.012409592203070028,0.012524897041182552,0.006617388913789326,0.01425053775464635,0.019567879773243826,0.021663933380295868,0.03337749779114339,2011+,-0.00925434117722584,0.00925434117722584,0.42717732808590514,-0.009139036339113315,0.009139036339113315,0.4218548948929837
2014-Q4,48,Projected,343,146140000.0,127351082.50510204,0.0071297713151772255,0.016518140153847678,0.01668814846895138,0.00818167195365816,0.018955166729631785,0.026352251637130418,0.02196871828383742,0.034907433134257065,2011+,-0.005450578129989742,0.005450578129989742,0.24810633281231434,-0.0052805698148860394,0.0052805698148860394,0.2403676785627954
2015-Q1,45,Projected,305,139590000.0,121009526.23304348,0.0006103166415932376,0.0016008132606457205,0.0016260112810297757,0.000704028043510648,0.0018466110066673218,0.0026102631425836496,0.017014095279031447,0.027843069818995727,2011+,-0.015413282018385727,0.015413282018385727,0.9059125252096949,-0.015388083998001671,0.015388083998001671,0.9044315166711386
2015-Q2,42,Projected,321,135495000.0,120139398.50372092,0.004485578582235508,0.01425960248848356,0.014468433180486647,0.005058902221665246,0.016082191714296274,0.02296859836297155,0.01677351666113141,0.02625155997399829,2011+,-0.002513914172647848,0.002513914172647848,0.14987400814244514,-0.0023050834806447613,0.0023050834806447613,0.13742398372466746
2015-Q3,39,Projected,329,139395000.0,123418235.01375,0.00605324057534345,0.02176362557308347,0.022071268272360233,0.006836846029324545,0.024580975302571632,0.035465105122490376,0.020302032497578823,0.03328229792691719,2011+,0.0014615930755046483,0.0014615930755046483,0.07199245078929682,0.0017692357747814101,0.0017692357747814101,0.08714574636763119
2015-Q4,36,Projected,327,141265000.0,126772062.35243243,0.0002012323647046331,0.0009008600514244674,0.000915603352444419,0.00022423781291000313,0.0010038488985900415,0.0014668039032769966,0.018308059250345097,0.029207219192446426,2011+,-0.017407199198920628,0.017407199198920628,0.9507943447688215,-0.01739245589790068,0.01739245589790068,0.9499890545510902
2016-Q1,33,Projected,338,145185000.0,135335652.9514706,0.00031239542652477885,0.001672458907338276,0.0017062206537697884,0.00033513068441960156,0.0017941757487140353,0.0026590120304389193,0.01967209525777456,0.030179217282510776,2011+,-0.017999636350436284,0.017999636350436284,0.9149831837725925,-0.01796587460400477,0.01796587460400477,0.9132669585312485
2016-Q2,30,Projected,340,146730000.0,133665184.97870968,0.0018884098684658905,0.012778432701516108,0.013030331578971007,0.0020729884153763353,0.014027433026723497,0.020975821056814906,0.015321517344782933,0.025225036006967308,2011+,-0.0025430846432668245,0.0025430846432668245,0.16598125277277187,-0.0022911857658119254,0.0022911857658119254,0.14954039565748936
2016-Q3,27,Projected,317,139860000.0,129075448.62464285,0.00151458815958816,0.013030602044219302,0.013335161206322424,0.0016411354929008384,0.01411933889305555,0.021415783033215004,0.016387130058630055,0.02749062645146078,2011+,-0.003356528014410753,0.003356528014410753,0.20482708091055177,-0.003051968852307631,0.003051968852307631,0.18624181546056345
2016-Q4,24,Projected,323,141510000.0,133108951.1972,0.00039004741714366475,0.004430873478103239,0.004512597237941056,0.0004146649004711042,0.004710523974886364,0.007171652343829261,0.021832371705179845,0.0342420014220937,2011+,-0.017401498227076605,0.017401498227076605,0.7970502912859444,-0.01731977446723879,0.01731977446723879,0.7933070534489655
2017-Q1,21,Projected,317,141495000.0,134250752.58454546,0.00014098809145199508,0.0020930947061155347,0.00211641089187157,0.0001485958895272258,0.0022060392939347354,0.0033644859965367845,0.027779135234460583,0.04709566208436502,2011+,-0.02568604052834505,0.02568604052834505,0.924652272705775,-0.025662724342589014,0.025662724342589014,0.9238129310358763
2017-Q2,18,Projected,326,139000000.0,133534456.36894739,0.0,0.0,0.0,0.0,0.0,0.0,0.022848731294964026,0.03760982297111089,2011+,-0.022848731294964026,0.022848731294964026,1.0,-0.022848731294964026,0.022848731294964026,1.0
2017-Q3,15,Projected,326,146115000.0,141822029.79062504,0.0,0.0,0.0,0.0,0.0,0.0,0.02950042740307291,0.04881355973642453,2011+,-0.02950042740307291,0.02950042740307291,1.0,-0.02950042740307291,0.02950042740307291,1.0
2017-Q4,12,Projected,328,144025000.0,140054195.19846153,0.0,0.0,0.0,0.0,0.0,0.0,0.027130356257594166,0.04505963324782767,2011+,-0.027130356257594166,0.027130356257594166,1.0,-0.027130356257594166,0.027130356257594166,1.0
2018-Q1,9,Projected,341,149000000.0,146126474.162,0.0,0.0,0.0,0.0,0.0,0.0,0.024810829463087252,0.040288736577990904,2011+,-0.024810829463087252,0.024810829463087252,1.0,-0.024810829463087252,0.024810829463087252,1.0
2018-Q2,6,Projected,332,146445000.0,142858523.4542857,0.0,0.0,0.0,0.0,0.0,0.0,0.03542772440165252,0.06043680310394233,2011+,-0.03542772440165252,0.03542772440165252,1.0,-0.03542772440165252,0.03542772440165252,1.0
2018-Q3,3,Projected,335,148705000.0,148237312.04250002,0.0,0.0,0.0,0.0,0.0,0.0,0.019896924245990377,0.03156044295340743,2011+,-0.019896924245990377,0.019896924245990377,1.0,-0.019896924245990377,0.019896924245990377,1.0
2018-Q4,0,Projected,318,138375000.0,138375000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022717124552845528,0.03655206420044919,2011+,-0.022717124552845528,0.022717124552845528,1.0,-0.022717124552845528,0.022717124552845528,1.0
